profile,analysis_role,job_id,circuit_id,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,regular_tangents,regular_fraction
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i5|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i5,SU2-CZ-ring,10,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i5|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i5,SU2-CZ-random-matching,6,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i5|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i5,SU2-CZ-random-matching,10,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n6|d36|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n6|d36|i5,SU2-HaarU4-brickwork,6,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n10|d60|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i5,SU2-HaarU4-brickwork,10,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n6|d36|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n6|d36|i5,U1-RZ-XY-line,6,6.0,5,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n8|d48|i17|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i17,U1-RZ-XY-line,8,6.0,17,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n12|d72|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i9,U1-RZ-XY-line,12,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i6|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i6,RY-RZ-CZ-line,6,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i6|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i6,RY-RZ-CZ-line,10,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i6,SU2-CNOT-line,6,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i6,SU2-CNOT-line,10,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i6|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i6,SU2-CZ-ring,6,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i6|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i6,SU2-CZ-ring,10,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i6|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i6,SU2-CZ-random-matching,6,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i6|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i6,SU2-CZ-random-matching,10,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n6|d36|i6|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n6|d36|i6,SU2-HaarU4-brickwork,6,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n10|d60|i6|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i6,SU2-HaarU4-brickwork,10,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n6|d36|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n6|d36|i6,U1-RZ-XY-line,6,6.0,6,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n8|d48|i18|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i18,U1-RZ-XY-line,8,6.0,18,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n12|d72|i10|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i10,U1-RZ-XY-line,12,6.0,10,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i7|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i7,RY-RZ-CZ-line,6,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i7|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i7,RY-RZ-CZ-line,10,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i7,SU2-CNOT-line,6,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i7,SU2-CNOT-line,10,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i7|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i7,SU2-CZ-ring,6,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i7|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i7,SU2-CZ-ring,10,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i7|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i7,SU2-CZ-random-matching,6,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i7|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i7,SU2-CZ-random-matching,10,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n6|d36|i7|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n6|d36|i7,SU2-HaarU4-brickwork,6,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n10|d60|i7|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i7,SU2-HaarU4-brickwork,10,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n6|d36|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n6|d36|i7,U1-RZ-XY-line,6,6.0,7,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n8|d48|i19|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i19,U1-RZ-XY-line,8,6.0,19,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n12|d72|i11|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i11,U1-RZ-XY-line,12,6.0,11,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i8|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i8,RY-RZ-CZ-line,6,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i8|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i8,RY-RZ-CZ-line,10,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i8,SU2-CNOT-line,6,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i8,SU2-CNOT-line,10,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i8|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i8,SU2-CZ-ring,6,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i8|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i8,SU2-CZ-ring,10,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i8|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i8,SU2-CZ-random-matching,6,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i8|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i8,SU2-CZ-random-matching,10,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n6|d36|i8|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n6|d36|i8,SU2-HaarU4-brickwork,6,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n10|d60|i8|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i8,SU2-HaarU4-brickwork,10,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n6|d36|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n6|d36|i8,U1-RZ-XY-line,6,6.0,8,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i0,U1-RZ-XY-line,10,6.0,0,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n12|d72|i12|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i12,U1-RZ-XY-line,12,6.0,12,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i9|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i9,RY-RZ-CZ-line,6,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i9|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i9,RY-RZ-CZ-line,10,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i9,SU2-CNOT-line,6,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i9,SU2-CNOT-line,10,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i9|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i9,SU2-CZ-ring,6,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i9|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i9,SU2-CZ-ring,10,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i9|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i9,SU2-CZ-random-matching,6,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i9|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i9,SU2-CZ-random-matching,10,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n6|d36|i9|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n6|d36|i9,SU2-HaarU4-brickwork,6,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n10|d60|i9|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i9,SU2-HaarU4-brickwork,10,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n6|d36|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n6|d36|i9,U1-RZ-XY-line,6,6.0,9,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n10|d60|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i1,U1-RZ-XY-line,10,6.0,1,gaussian,Z,0.0,128,128,1.0
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line|n12|d72|i13|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i13,U1-RZ-XY-line,12,6.0,13,gaussian,Z,0.0,128,128,1.0
